Athlete ID,Name,Gender,Type,Country Code,Country Name,Native Language,Event Type,Event Name,Date of Birth,,,Medal ID,Medal Type,Medal Rank,Event Date,Opponent Name,,Game,,,,,Start Time,End Time,,,,Venue,Stadium
1533189,TAPIA VIDAL Rosa Maria,Female,Athlete,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",27/08/1997,,,1937783,Silver Medal,2,27/07/2024,Fares FERJANI,,Fencing,,,,,2024-07-24T19:00:00+02:00,2024-07-24T20:45:00+02:00,,,,Lyon Stadium,"Lyon Stadium, Lyon"
1533190,GRAJALES Crisanto,Male,Athlete,MEX,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",6/5/1987,,,1924595,Bronze Medal,3,27/07/2024,Luigi SAMELE,,Fencing,,,,,2024-07-24T19:00:00+02:00,2024-07-24T20:45:00+02:00,,,,Bordeaux Stadium,"Bordeaux Stadium, Bordeaux"
1533208,MAAROUFOU Hachim,Male,Athlete,COM,Comoros,Comoros,['Athletics'],"[""Men's 100m""]",13/02/1997,,,1963262,Gold Medal,1,27/07/2024,KONG Man Wai Vivian,,Fencing,,,,,2024-07-24T19:00:00+02:00,2024-07-24T19:16:00+02:00,,,,Stade de France,Stade de France
1533209,SAADI Maesha,Female,Athlete,COM,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",16/01/2007,,,1916183,Silver Medal,2,27/07/2024,Auriane MALLO-BRETON,,Fencing,,,,,2024-07-24T19:30:00+02:00,2024-07-24T19:46:00+02:00,,,,Stade de France,Stade de France
1533230,DIOSDADO Nuria,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",22/08/1990,,,1946375,Bronze Medal,3,27/07/2024,Eszter MUHARI,,Fencing,,,,,2024-07-24T20:00:00+02:00,2024-07-24T20:16:00+02:00,,,,Stade de France,Stade de France
1533231,JIMENEZ Joana,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",19/08/1993,,,1935408,Gold Medal,1,27/07/2024,Yeldos SMETOV,,Judo,,,,,2024-07-24T20:30:00+02:00,2024-07-24T20:46:00+02:00,,,,Stade de France,Stade de France
1533232,SOBRINO Jessica,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],26/05/1994,,,1891304,Silver Medal,2,27/07/2024,Luka MKHEIDZE,,Judo,,,,,2024-07-24T21:00:00+02:00,2024-07-24T22:45:00+02:00,,,,Marseille Stadium,"Marseille Stadium, Marseille"
1533234,ALFEREZ Regina,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1/12/1997,,,1896752,Bronze Medal,3,27/07/2024,NAGAYAMA Ryuju,,Judo,,,,,2024-07-24T21:00:00+02:00,2024-07-24T22:45:00+02:00,,,,Parc des Princes,"Parc des Princes, Paris"
1533235,ARELLANO Fernanda,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],28/02/2002,,,1563544,Bronze Medal,3,27/07/2024,Francisco GARRIGOS,,Judo,,,,,2024-07-24T21:00:00+02:00,2024-07-24T21:16:00+02:00,,,,Stade de France,Stade de France
1533237,TOSCANO Pamela,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],13/01/2000,,,1896735,Gold Medal,1,27/07/2024,TSUNODA Natsumi,,Judo,,,,,2024-07-24T21:30:00+02:00,2024-07-24T21:46:00+02:00,,,,Stade de France,Stade de France
1533239,GONZALEZ Itzamary,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],14/11/2003,,,1914467,Silver Medal,2,27/07/2024,Baasankhuu BAVUUDORJ,,Judo,,,,,2024-07-25T09:00:00+02:00,2024-07-25T10:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1533240,RODRIGUEZ Samanta,Female,Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],5/12/1994,,,1891280,Bronze Medal,3,27/07/2024,Shirine BOUKLI,,Judo,,,,,2024-07-25T09:30:00+02:00,2024-07-25T12:30:00+02:00,,,,Invalides,Invalides
1533243,INZUNZA Glenda,Female,Alternate Athlete,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],12/3/2000,,,1571911,Bronze Medal,3,27/07/2024,Tara BABULFATH,,Judo,,,,,2024-07-25T11:00:00+02:00,2024-07-25T12:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1533245,SEHEN Sajjad,Male,Athlete,IRQ,Iraq,Iraq,['Judo'],['Men -81 kg'],8/3/1996,,,RU7MTEAM7---FRA01,Gold Medal,1,27/07/2024,France,,Rugby Sevens,,,,,2024-07-25T14:00:00+02:00,2024-07-25T15:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1533359,RUBAIAWI Ali Ammar Yusur,Male,Athlete,IRQ,Iraq,Iraq,['Weightlifting'],"[""Men's +102kg""]",2/8/2004,,,RU7MTEAM7---FIJ01,Silver Medal,2,27/07/2024,Fiji,,Rugby Sevens,,,,,2024-07-25T14:00:00+02:00,2024-07-25T14:16:00+02:00,,,,Stade de France,Stade de France
1533364,ISMAIL Mohamed,Male,Athlete,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",1/1/1997,,,RU7MTEAM7---RSA01,Bronze Medal,3,27/07/2024,South Africa,,Rugby Sevens,,,,,2024-07-25T14:15:00+02:00,2024-07-25T17:15:00+02:00,,,,Invalides,Invalides
1533371,HASSAN Ibrahim,Male,Athlete,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's Marathon""]",1/1/1997,,,SHOXARMT----CHN01,Gold Medal,1,27/07/2024,China 1,,Shooting,,,,,2024-07-25T14:30:00+02:00,2024-07-25T14:46:00+02:00,,,,Stade de France,Stade de France
1533372,WAISS Abdi,Male,Athlete,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",3/7/1996,,,SHOXARMT----KOR01,Silver Medal,2,27/07/2024,Korea 1,,Shooting,,,,,2024-07-25T15:00:00+02:00,2024-07-25T15:16:00+02:00,,,,Stade de France,Stade de France
1533374,HASSAN NOUR Samiyah,Female,Athlete,DJI,Djibouti,Djibouti,['Athletics'],"[""Women's 5000m""]",5/12/1999,,,SHOXARMT----KAZ01,Bronze Medal,3,27/07/2024,Kazakhstan 1,,Shooting,,,,,2024-07-25T15:30:00+02:00,2024-07-25T15:46:00+02:00,,,,Stade de France,Stade de France
1533378,HOUSSEIN BARKAT Houmed,Male,Athlete,DJI,Djibouti,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",4/4/2004,,,SWMM4X100MFRUSA01,Gold Medal,1,27/07/2024,United States,,Swimming,,,,,2024-07-25T16:00:00+02:00,2024-07-25T17:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1535180,BARAT Andy,Male,Athlete,COM,Comoros,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",29/11/1997,,,SWMM4X100MFRAUS01,Silver Medal,2,27/07/2024,Australia,,Swimming,,,,,2024-07-25T16:00:00+02:00,2024-07-25T16:16:00+02:00,,,,Stade de France,Stade de France
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,Athlete,MEX,Mexico,Mexico,['Boxing'],"[""Men's 63.5kg""]",17/03/2001,,,SWMM4X100MFRITA01,Bronze Medal,3,27/07/2024,Italy,,Swimming,,,,,2024-07-25T16:30:00+02:00,2024-07-25T16:46:00+02:00,,,,Stade de France,Stade de France
1535187,VERDE ALVAREZ Marco Alonso,Male,Athlete,MEX,Mexico,Mexico,['Boxing'],"[""Men's 71kg""]",11/2/2002,,,1907192,Gold Medal,1,27/07/2024,Lukas MAERTENS,,Swimming,,,,,2024-07-25T17:00:00+02:00,2024-07-25T18:45:00+02:00,,,,Geoffroy-Guichard Stadium,"Geoffroy-Guichard Stadium, Saint-Etienne"
1535191,GONZALEZ Alegna,Female,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",2/1/1999,,,1946172,Silver Medal,2,27/07/2024,Elijah WINNINGTON,,Swimming,,,,,2024-07-25T17:00:00+02:00,2024-07-25T18:45:00+02:00,,,,La Beaujoire Stadium,"La Beaujoire Stadium, Nantes"
1535195,LOPEZ Jesus Tonatiu,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Men's 800m""]",2/8/1997,,,4654306,Bronze Medal,3,27/07/2024,KIM Woomin,,Swimming,,,,,2024-07-25T19:00:00+02:00,2024-07-25T20:45:00+02:00,,,,Marseille Stadium,"Marseille Stadium, Marseille"
1535199,PORTILLO Erick,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",5/10/2000,,,SWMW4X100MFRAUS01,Gold Medal,1,27/07/2024,Australia,,Swimming,,,,,2024-07-25T19:00:00+02:00,2024-07-25T20:45:00+02:00,,,,Bordeaux Stadium,"Bordeaux Stadium, Bordeaux"
1535201,MUNOZ Uziel,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Men's Shot Put""]",8/9/1995,,,SWMW4X100MFRUSA01,Silver Medal,2,27/07/2024,United States,,Swimming,,,,,2024-07-25T19:00:00+02:00,2024-07-25T20:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1535202,del REAL Diego,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Men's Hammer Throw""]",6/3/1994,,,SWMW4X100MFRCHN01,Bronze Medal,3,27/07/2024,China,,Swimming,,,,,2024-07-25T20:00:00+02:00,2024-07-25T20:16:00+02:00,,,,Stade de France,Stade de France
1535203,DOCTOR Jose Luis,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",14/06/1996,,,1946150,Gold Medal,1,27/07/2024,Ariarne TITMUS,,Swimming,,,,,2024-07-25T20:30:00+02:00,2024-07-25T20:46:00+02:00,,,,Stade de France,Stade de France
1535212,MORAN Paola,Female,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Women's 400m""]",25/02/1997,,,1967140,Silver Medal,2,27/07/2024,Summer McINTOSH,,Swimming,,,,,2024-07-25T21:00:00+02:00,2024-07-25T22:45:00+02:00,,,,Lyon Stadium,"Lyon Stadium, Lyon"
1535214,GALVAN Laura,Female,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",5/10/1991,,,1935938,Bronze Medal,3,27/07/2024,Katie LEDECKY,,Swimming,,,,,2024-07-25T21:00:00+02:00,2024-07-25T22:45:00+02:00,,,,Nice Stadium,"Nice Stadium, Nice"
1535216,CORTES Alma Delia,Female,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",26/12/1997,,,ARCWTEAM3---KOR01,Gold Medal,1,28/07/2024,Korea,,Archery,,,,,2024-07-25T21:00:00+02:00,2024-07-25T22:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1535217,CRISTIAN MOSCOTE Citlali,Female,Athlete,MEX,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",15/04/1995,,,ARCWTEAM3---CHN01,Silver Medal,2,28/07/2024,China,,Archery,,,,,2024-07-25T21:00:00+02:00,2024-07-25T21:16:00+02:00,,,,Stade de France,Stade de France
1535222,PALMA OLIVARES Ever Jair,Male,Athlete,MEX,Mexico,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],18/03/1992,,,ARCWTEAM3---MEX01,Bronze Medal,3,28/07/2024,Mexico,,Archery,,,,,2024-07-25T21:30:00+02:00,2024-07-25T21:46:00+02:00,,,,Stade de France,Stade de France
1535225,OETLING RAMIREZ Elena,Female,Athlete,MEX,Mexico,Mexico,['Sailing'],"[""Women's Dinghy""]",18/04/1993,,,1940205,Gold Medal,1,28/07/2024,Jessica FOX,,Canoe Slalom,,,,,2024-07-25T22:00:00+02:00,2024-07-25T22:16:00+02:00,,,,Stade de France,Stade de France
1535226,AGUILAR CHAVEZ PEON Mariana,Female,Athlete,MEX,Mexico,Mexico,['Sailing'],"[""Women's Windsurfing""]",12/3/1999,,,1942126,Silver Medal,2,28/07/2024,Klaudia ZWOLINSKA,,Canoe Slalom,,,,,2024-07-25T22:30:00+02:00,2024-07-25T22:46:00+02:00,,,,Stade de France,Stade de France
1535252,LECHUGA ALANIS Kenia,Female,Athlete,MEX,Mexico,Mexico,['Rowing'],"[""Women's Single Sculls""]",26/06/1994,,,1896045,Bronze Medal,3,28/07/2024,Kimberley WOODS,,Canoe Slalom,,,,,2024-07-26T09:00:00+02:00,2024-07-26T09:30:00+02:00,,,,Chateauroux Shooting Ctr,Chateauroux - 10m Qualification
1535260,LOPEZ GARCIA Alexis,Male,Athlete,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1/5/1997,,,1895672,Gold Medal,1,28/07/2024,Pauline FERRAND PREVOT,,Cycling Mountain Bike,,,,,2024-07-26T10:00:00+02:00,2024-07-26T11:15:00+02:00,,,,Chateauroux Shooting Ctr,Chateauroux - 10m Qualification
1535267,CARBALLO NIETO Miguel,Male,Athlete,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",8/7/1992,,,1955070,Silver Medal,2,28/07/2024,Haley BATTEN,,Cycling Mountain Bike,,,,,2024-07-26T11:45:00+02:00,2024-07-26T13:00:00+02:00,,,,Chateauroux Shooting Ctr,Chateauroux - 10m Qualification
1535310,BLANCO Luisa,Female,Athlete,COL,Colombia,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",18/11/2001,,,1564023,Bronze Medal,3,28/07/2024,Jenny RISSVEDS,,Cycling Mountain Bike,,,,,2024-07-26T20:00:00+02:00,,,,,,
1535343,WILLARS VALDEZ Randal,Male,Athlete,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",30/04/2002,,,1896548,Gold Medal,1,28/07/2024,KANO Koki,,Fencing,,,,,2024-07-27T08:30:00+02:00,2024-07-27T09:10:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 1
1535345,BERLIN REYES Kevin,Male,Athlete,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",25/04/2001,,,1916194,Silver Medal,2,28/07/2024,Yannick BOREL,,Fencing,,,,,2024-07-27T08:30:00+02:00,2024-07-27T09:10:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 2
1535346,OROZCO LOZA Alejandra,Female,Athlete,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",19/04/1997,,,1936462,Bronze Medal,3,28/07/2024,Mohamed ELSAYED,,Fencing,,,,,2024-07-27T08:30:00+02:00,2024-07-27T09:10:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 3
1535348,AGUNDEZ GARCIA Gabriela,Female,Athlete,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",4/8/2000,,,1950611,Gold Medal,1,28/07/2024,Lee KIEFER,,Fencing,,,,,2024-07-27T09:00:00+02:00,2024-07-27T10:30:00+02:00,,,,South Paris Arena 6,South Paris Arena 6
1535349,OLVERA IBARRA Osmar,Male,Athlete,MEX,Mexico,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",5/6/2004,,,1950643,Silver Medal,2,28/07/2024,Lauren SCRUGGS,,Fencing,,,,,2024-07-27T09:00:00+02:00,2024-07-27T10:07:00+02:00,,,,Nautical St - Flat water,Vaires-sur-Marne Nautical Stadium - Flat water
1535350,GARZA PEREZ Eugenio,Male,Athlete,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",23/07/1996,,,1973213,Bronze Medal,3,28/07/2024,Eleanor HARVEY,,Fencing,,,,,2024-07-27T09:00:00+02:00,2024-07-27T09:30:00+02:00,,,,Chateauroux Shooting Ctr,Chateauroux - 10m Qualification
1535351,FERNANDEZ Federico,Male,Athlete,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",28/03/1968,,,1896763,Gold Medal,1,28/07/2024,ABE Hifumi,,Judo,,,,,2024-07-27T09:00:00+02:00,2024-07-27T10:30:00+02:00,,,,South Paris Arena 1,South Paris Arena 1
1535354,de LARA OJEDA Miguel Alejandro,Male,Athlete,MEX,Mexico,Mexico,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",9/8/1994,,,1953840,Silver Medal,2,28/07/2024,Willian LIMA,,Judo,,,,,2024-07-27T09:20:00+02:00,2024-07-27T10:00:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 1
1535356,MORENO Alexa,Female,Athlete,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",8/8/1994,,,1935410,Bronze Medal,3,28/07/2024,Gusman KYRGYZBAYEV,,Judo,,,,,2024-07-27T09:20:00+02:00,2024-07-27T10:00:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 2
1535357,SANDOVAL Ahtziri,Female,Athlete,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",5/10/1996,,,1561138,Bronze Medal,3,28/07/2024,Denis VIERU,,Judo,,,,,2024-07-27T09:20:00+02:00,2024-07-27T10:00:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 3
1535358,FLORES Sofia,Female,Athlete,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],20/12/2004,,,1566997,Gold Medal,1,28/07/2024,Diyora KELDIYOROVA,,Judo,,,,,2024-07-27T09:30:00+02:00,2024-07-27T18:30:00+02:00,,,,Ch̢teau de Versailles,Ch̢teau de Versailles
1535359,SALAZAR Kimberly,Female,Athlete,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],24/04/2004,,,1550162,Silver Medal,2,28/07/2024,Distria KRASNIQI,,Judo,,,,,2024-07-27T09:30:00+02:00,2024-07-27T18:30:00+02:00,,,,Ch̢teau de Versailles,Ch̢teau de Versailles
1535360,TEJEDA Adirem,Female,Athlete,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],21/06/2002,,,1953817,Bronze Medal,3,28/07/2024,Larissa PIMENTA,,Judo,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:25:00+02:00,,,,Grand Palais,Grand Palais - Blue Piste
1535361,ALCOCER Dalia,Female,Athlete,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2/1/2004,,,1891283,Bronze Medal,3,28/07/2024,Amandine BUCHARD,,Judo,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:25:00+02:00,,,,Grand Palais,Grand Palais - Yellow Piste
1535362,GUTIERREZ Julia,Female,Athlete,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],13/09/2007,,,1913907,Gold Medal,1,28/07/2024,XIE Yu,,Shooting,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:25:00+02:00,,,,Grand Palais,Grand Palais - Green Piste
1535363,HERNANDEZ Emiliano,Male,Athlete,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",27/01/1998,,,1551388,Silver Medal,2,28/07/2024,Federico Nilo MALDINI,,Shooting,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:25:00+02:00,,,,Grand Palais,Grand Palais - Red Piste
1535364,CARRILLO Duilio,Male,Athlete,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",24/03/1997,,,1551387,Bronze Medal,3,28/07/2024,Paolo MONNA,,Shooting,,,,,2024-07-27T10:00:00+02:00,2024-07-27T11:30:00+02:00,,,,Yves-du-Manoir Stadium,Yves-du-Manoir Stadium - Pitch 1
1535365,OLIVER Mayan,Female,Athlete,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Women's Individual""]",11/7/1993,,,1893972,Gold Medal,1,28/07/2024,OH Ye Jin,,Shooting,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:06:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 1
1535366,SANSORES Carlos,Male,Athlete,MEX,Mexico,Mexico,['Taekwondo'],['Men +80kg'],25/06/1997,,,1893930,Silver Medal,2,28/07/2024,KIM Yeji,,Shooting,,,,,2024-07-27T10:00:00+02:00,2024-07-27T10:06:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 2
1535367,SOUZA Daniela Paola,Female,Athlete,MEX,Mexico,Mexico,['Taekwondo'],['Women -49kg'],27/08/1999,,,1538159,Bronze Medal,3,28/07/2024,Manu BHAKER,,Shooting,,,,,2024-07-27T10:06:00+02:00,2024-07-27T10:12:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 1
1535368,CLELAND QUINONEZ Alan,Male,Athlete,MEX,Mexico,Mexico,['Surfing'],['Men'],19/06/2002,,,1902055,Gold Medal,1,28/07/2024,YOSHIZAWA Coco,,Skateboarding,,,,,2024-07-27T10:06:00+02:00,2024-07-27T10:12:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 2
1535373,GRIGORIAN Aram,Male,Athlete,UAE,UA Emirates,UA Emirates,['Judo'],['Men -90 kg'],9/6/1998,,,1902069,Silver Medal,2,28/07/2024,AKAMA Liz,,Skateboarding,,,,,2024-07-27T10:10:00+02:00,2024-07-27T10:50:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 1
1535374,KOSTOEV Dzhafar,Male,Athlete,UAE,UA Emirates,UA Emirates,['Judo'],['Men -100 kg'],28/04/1999,,,1955689,Bronze Medal,3,28/07/2024,Rayssa LEAL,,Skateboarding,,,,,2024-07-27T10:10:00+02:00,2024-07-27T10:50:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 2
1535375,MAGOMEDOMAROV Magomedomar,Male,Athlete,UAE,UA Emirates,UA Emirates,['Judo'],['Men +100 kg'],10/4/2001,,,1925633,Gold Medal,1,28/07/2024,Nicolo MARTINENGHI,,Swimming,,,,,2024-07-27T10:10:00+02:00,2024-07-27T10:50:00+02:00,,,,La Chapelle Arena,La Chapelle Arena Court 3
1535376,TATALASHVILI Nugzari,Male,Athlete,UAE,UA Emirates,UA Emirates,['Judo'],['Men -81 kg'],20/03/1990,,,1956469,Silver Medal,2,28/07/2024,Adam PEATY,,Swimming,,,,,2024-07-27T10:12:00+02:00,2024-07-27T10:18:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 1
1535383,BISHRELT Khorloodoi,Female,Athlete,UAE,UA Emirates,UA Emirates,['Judo'],['Women -52 kg'],29/05/1998,,,1935901,Silver Medal,2,28/07/2024,Nic FINK,,Swimming,,,,,2024-07-27T10:12:00+02:00,2024-07-27T10:18:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 2
1535385,HOUSSEIN Alexandre,Male,Athlete,DJI,Djibouti,Djibouti,['Judo'],['Men -73 kg'],28/03/1998,,,1909294,Gold Medal,1,28/07/2024,Leon MARCHAND,,Swimming,,,,,2024-07-27T10:12:00+02:00,2024-07-27T11:19:00+02:00,,,,Nautical St - Flat water,Vaires-sur-Marne Nautical Stadium - Flat water
1535395,AL SAYEGH Safia,Female,Athlete,UAE,UA Emirates,UA Emirates,['Cycling Road'],"[""Women's Road Race""]",23/09/2001,,,1963635,Silver Medal,2,28/07/2024,MATSUSHITA Tomoyuki,,Swimming,,,,,2024-07-27T10:18:00+02:00,2024-07-27T10:24:00+02:00,,,,Champ-de-Mars Arena,Champ-de-Mars Arena Mat 1
